Channel 0	Channel 1	Channel 2	Channel 3
-0.150	0.442	0.750	1.348
0.056	0.447	0.827	1.403
0.158	0.557	0.804	1.422
0.154	0.518	0.873	1.198
-0.001	0.503	0.856	1.272
0.299	0.558	0.877	1.253
0.035	0.568	1.031	1.452
0.244	0.667	0.951	1.509
0.229	0.620	0.948	1.521
0.359	0.786	1.117	1.458
0.417	0.793	1.277	1.675
0.347	0.648	1.159	1.496
0.474	0.698	1.283	1.708
0.545	0.965	1.262	1.601
0.356	0.785	1.360	1.519
0.419	0.753	1.341	1.557
0.339	1.031	1.250	1.651
0.543	0.993	1.448	1.815
0.543	0.877	1.449	1.766
0.565	1.130	1.478	1.687
0.638	0.990	1.505	1.865
0.660	1.013	1.359	1.778
0.646	1.175	1.497	2.036
0.774	1.068	1.422	1.964
0.726	1.013	1.610	1.946
0.653	1.308	1.471	2.094
0.847	1.144	1.586	1.871
0.959	1.287	1.532	2.141
0.945	1.286	1.572	1.959
0.974	1.284	1.590	2.084
0.978	1.292	1.656	2.131
0.993	1.426	1.817	2.131
0.855	1.339	1.879	2.026
1.003	1.457	1.785	2.074
1.163	1.564	1.850	2.174
1.049	1.429	1.968	2.192
1.074	1.427	2.037	2.213
1.189	1.545	1.829	2.379
1.249	1.523	1.948	2.444
1.035	1.730	1.997	2.219
1.215	1.519	2.106	2.419
1.283	1.549	2.134	2.294
1.148	1.741	2.003	2.566
1.230	1.648	1.978	2.530
1.424	1.788	2.144	2.560
1.279	1.647	1.992	2.381
1.474	1.888	2.082	2.423
1.427	1.665	2.080	2.550
1.516	1.894	2.236	2.462
1.451	1.777	2.309	2.553
1.480	1.815	2.300	2.651
1.566	1.821	2.305	2.806
1.615	2.078	2.237	2.643
1.489	2.127	2.344	2.867
1.493	2.044	2.262	2.724
1.772	1.899	2.528	2.705
1.590	2.143	2.410	2.703
1.738	2.121	2.448	2.807
1.758	2.157	2.596	2.941
1.794	2.210	2.535	2.830
1.690	2.243	2.558	3.013
1.736	2.105	2.598	2.975
1.867	2.181	2.591	2.814
1.942	2.286	2.655	3.022
1.989	2.175	2.667	3.099
2.049	2.341	2.738	2.875
2.004	2.476	2.640	3.057
1.924	2.262	2.603	3.171
2.115	2.460	2.642	3.032
1.911	2.286	2.813	3.203
2.078	2.424	2.768	3.070
2.082	2.466	2.716	3.100
2.191	2.436	2.943	3.314
2.259	2.586	2.810	3.333
2.063	2.414	2.980	3.230
2.235	2.707	2.790	3.358
2.275	2.542	2.824	3.269
2.174	2.559	3.093	3.305
2.332	2.531	2.989	3.276
2.309	2.760	3.018	3.299
2.393	2.708	3.071	3.325
2.215	2.785	2.943	3.415
2.499	2.746	3.160	3.399
2.380	2.859	3.125	3.379
2.579	2.838	3.036	3.406
2.358	2.896	3.292	3.498
2.353	2.797	3.046	3.528
2.410	2.977	3.311	3.536
2.613	3.003	3.079	3.416
2.635	2.956	3.163	3.419
2.499	2.983	3.222	3.516
2.584	3.018	3.383	3.683
2.658	3.027	3.404	3.731
2.569	3.057	3.308	3.557
2.592	3.148	3.229	3.630
2.748	3.006	3.395	3.589
2.694	2.972	3.495	3.581
2.711	3.198	3.543	3.797
2.874	3.170	3.404	3.837
2.744	3.268	3.386	3.675
2.863	3.327	3.355	3.643
2.883	3.183	3.388	3.715
3.017	3.147	3.425	3.694
3.053	3.124	3.415	3.694
2.899	3.397	3.542	3.824
3.106	3.396	3.603	3.965
3.054	3.287	3.541	3.733
3.028	3.476	3.603	3.822
3.070	3.288	3.709	4.051
3.048	3.500	3.526	4.068
3.122	3.491	3.716	3.846
3.031	3.392	3.564	3.946
3.013	3.496	3.839	3.858
3.255	3.518	3.809	4.096
3.193	3.547	3.664	4.079
3.275	3.596	3.649	4.150
3.273	3.595	3.685	4.072
3.387	3.421	3.760	3.966
3.420	3.610	3.784	4.216
3.258	3.653	3.780	4.002
3.242	3.622	4.004	4.004
3.463	3.618	3.776	4.222
3.265	3.798	4.002	4.265
3.299	3.663	3.788	4.244
3.292	3.667	3.898	4.332
3.291	3.641	3.880	4.124
3.347	3.771	4.106	4.347
3.381	3.838	4.051	4.277
3.616	3.760	4.151	4.294
3.410	3.833	4.062	4.236
3.668	3.823	4.082	4.285
3.482	3.799	4.030	4.149
3.665	3.757	3.962	4.269
3.625	3.738	4.017	4.213
3.661	3.872	4.155	4.390
3.620	3.959	4.108	4.445
