Channel 0	Channel 1	Channel 2	Channel 3
-0.092	0.515	0.868	1.249
0.127	0.527	0.774	1.392
0.124	0.487	0.843	1.168
-0.031	0.473	0.826	1.243
0.268	0.528	0.847	1.224
0.005	0.538	1.001	1.423
0.213	0.637	0.921	1.480
0.198	0.590	0.918	1.492
0.334	0.671	1.022	1.602
0.342	0.832	1.238	1.530
0.197	0.714	1.061	1.655
0.248	0.839	1.273	1.725
0.515	0.819	1.167	1.534
0.335	0.917	1.086	1.596
0.304	0.899	1.125	1.514
0.582	0.808	1.220	1.717
0.544	1.007	1.385	1.714
0.429	1.008	1.337	1.735
0.682	1.039	1.258	1.805
0.543	1.065	1.438	1.826
0.566	0.920	1.352	1.810
0.729	1.060	1.610	1.936
0.622	0.985	1.539	1.886
0.567	1.174	1.523	1.811
0.863	1.036	1.671	2.002
0.699	1.151	1.450	2.112
0.902	1.299	1.632	1.908
0.722	1.327	1.629	1.925
0.850	1.331	1.637	1.990
0.899	1.346	1.770	2.150
0.901	1.207	1.682	2.211
0.799	1.355	1.800	2.116
0.850	1.514	1.905	2.180
0.952	1.400	1.770	2.297
0.973	1.424	1.767	2.365
0.997	1.538	1.884	2.156
1.166	1.597	1.861	2.274
1.234	1.383	2.068	2.322
1.012	1.563	1.856	2.430
1.214	1.629	1.885	2.457
1.093	1.494	2.076	2.325
1.368	1.575	1.982	2.299
1.335	1.769	2.121	2.464
1.369	1.623	1.980	2.310
1.192	1.817	2.219	2.399
1.238	1.770	1.995	2.396
1.369	1.858	2.224	2.551
1.284	1.791	2.106	2.623
1.378	1.820	2.142	2.613
1.479	1.905	2.148	2.617
1.637	1.954	2.404	2.548
1.478	1.826	2.452	2.654
1.706	1.830	2.368	2.571
1.567	2.108	2.222	2.836
1.551	1.925	2.464	2.716
1.553	2.073	2.441	2.753
1.661	2.091	2.477	2.899
1.798	2.127	2.529	2.837
1.691	2.022	2.561	2.859
1.878	2.067	2.422	2.898
1.845	2.197	2.496	2.890
1.688	2.271	2.601	2.952
1.899	2.317	2.488	2.963
1.980	2.376	2.653	3.033
1.761	2.330	2.787	2.933
1.947	2.248	2.572	2.895
2.065	2.439	2.768	2.933
1.930	2.234	2.593	3.102
2.105	2.400	2.730	3.056
1.977	2.403	2.771	3.003
2.012	2.511	2.740	3.228
2.230	2.578	2.888	3.094
2.253	2.380	2.715	3.262
2.155	2.551	3.007	3.071
2.287	2.590	2.841	3.104
2.203	2.488	2.856	3.371
2.244	2.645	2.827	3.265
2.219	2.620	3.055	3.293
2.248	2.703	3.001	3.344
2.278	2.524	3.077	3.215
2.373	2.807	3.036	3.431
2.362	2.687	3.148	3.394
2.347	2.885	3.125	3.303
2.378	2.663	3.182	3.558
2.476	2.657	3.082	3.310
2.510	2.712	3.260	3.574
2.524	2.914	3.285	3.341
2.409	2.935	3.237	3.423
2.417	2.798	3.262	3.481
2.519	2.882	3.296	3.640
2.691	2.953	3.303	3.659
2.744	2.863	3.332	3.561
2.576	2.885	3.421	3.481
2.654	3.040	3.278	3.645
2.618	2.985	3.242	3.744
